Date,Open,High,Low,Close,Adj Close,Volume
1967-02-13,0.885166,0.886418,0.871394,0.871394,0.165476,1637300
1967-02-14,0.871394,0.878906,0.868890,0.872646,0.165714,4183200
1967-02-15,0.872646,0.880158,0.870142,0.872646,0.165714,3194800
1967-02-16,0.872646,0.873898,0.856370,0.856370,0.162623,3783900
1967-02-17,0.856370,0.860126,0.848858,0.850110,0.161434,3923700
1967-02-20,0.846354,0.846354,0.831330,0.832582,0.158106,5421300
1967-02-21,0.832582,0.833834,0.826322,0.830078,0.157630,3254700
1967-02-23,0.830078,0.856370,0.830078,0.856370,0.162623,3783900
1967-02-24,0.856370,0.870142,0.852614,0.861378,0.163574,2595800
1967-02-27,0.861378,0.875150,0.848858,0.860126,0.163337,2935200
1967-02-28,0.860126,0.871394,0.852614,0.863882,0.164050,2476000
1967-03-01,0.863882,0.871394,0.852614,0.866386,0.164525,3604200
1967-03-02,0.866386,0.883914,0.863882,0.878906,0.166903,3444400
1967-03-03,0.878906,0.883914,0.868890,0.881410,0.167378,2486000
1967-03-06,0.881410,0.895182,0.873898,0.873898,0.165952,2755500
1967-03-07,0.873898,0.880158,0.861378,0.873898,0.167197,2066600
1967-03-08,0.881410,0.893930,0.881410,0.888922,0.170072,2096600
1967-03-09,0.888922,0.905198,0.881410,0.905198,0.173186,5471200
1967-03-10,0.905198,0.925230,0.903946,0.906450,0.173425,5501100
1967-03-13,0.906450,0.913962,0.902694,0.905198,0.173186,2655700
1967-03-14,0.905198,0.912710,0.891426,0.912710,0.174623,2146500
1967-03-15,0.915214,0.928986,0.915214,0.925230,0.177018,2875300
1967-03-16,0.925230,0.944010,0.923978,0.942758,0.180372,3604200
1967-03-17,0.942758,0.942758,0.923978,0.931490,0.178216,1857000
1967-03-20,0.926482,0.926482,0.912710,0.922726,0.176539,3474400
1967-03-21,0.922726,0.922726,0.892678,0.893930,0.171030,2076600
1967-03-22,0.893930,0.896434,0.886418,0.891426,0.170551,3095000
1967-03-23,0.890174,0.890174,0.873898,0.881410,0.168635,3684000
1967-03-27,0.877654,0.877654,0.866386,0.870142,0.166479,2625700
1967-03-28,0.870142,0.875150,0.860126,0.868890,0.166239,4802300
1967-03-29,0.866386,0.866386,0.853866,0.857622,0.164083,3075000
1967-03-30,0.857622,0.861378,0.852614,0.855118,0.163604,2735600
1967-03-31,0.853866,0.853866,0.846354,0.850110,0.162646,5031900
